Pos,Name,BV,SV,Team,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
M,Lookman,6.0,6.0,Leicester,48,2.158,48,2.421,12.962499999999999,2.83,12.415,2.088,46,2.467,19.666666666666668,2.4730000000000003,16.91333333333333,2.6189999999999998,43,2.138
D,Emerson Royal,4.9,4.9,Spurs,40,2.875,33,1.408,16.453333333333333,2.431,15.709999999999999,1.563,6.66,0.273,14.233333333333334,2.1470000000000002,14.233333333333334,1.716,31,1.574
M,Kral,4.4,4.4,West Ham,1,0.04,4,0.155,3,0.106,4,0.158,1.26,0.026,7,0.281,8,0.306,8,0.33
D,Tomiyasu,4.6,4.6,Arsenal,50.5,5.026,0,0,42.193333333333335,4.861000000000001,33.31,4.061999999999999,78,2.905,22.715,3.395,22.125,3.92,70,2.653
F,Rondón,6.0,6.0,Everton,5,0.298,3,0.148,0.9375,0.18800000000000003,0.9875,0.20900000000000002,1.0499999999999998,0.042,1.3100000000000003,0.266,1.6375,0.342,4,0.25
M,Saúl,4.9,4.9,Chelsea,6,0.292,0,0,5.386666666666667,0.779,5.09,0.577,1.76,0.054,7.14,0.786,5.61,0.577,15,0.793
G,Carson,3.9,3.9,Man City,0,0,0,0,0,0,1,0.05,0,0,1,0.052,1,0.045,0,0
D,Zanka,4.5,4.5,Brentford,0,0,30,1.265,41,1.684,40,1.858,44,1.321,40,0.818,47,1.659,41,1.604
F,Locadia,4.4,4.4,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,Sinisalo,4.0,4.0,Aston Villa,0,0,0.6666666666666666,0.079,0.03333333333333333,0.004,0.7366666666666667,0.085,1,0.039,0.8066666666666668,0.09999999999999999,0.8066666666666668,0.09799999999999999,3,0.109
M,Markanday,4.5,4.5,Spurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,Omole,3.9,3.9,Spurs,0,0,0,0,0,0,0,0,0,0,0.40666666666666673,0.037000000000000005,0.40666666666666673,0.030000000000000002,0,0
M,White,4.4,4.4,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,Kenneh,4.4,4.4,Leeds,0.5,0.045,0.55,0.05,0.5,0.048,0,0,0,0,0.55,0.051000000000000004,0.55,0.05,1,0.046
M,McKinstry,4.3,4.3,Leeds,0.5,0.045,0.05,0.002,0.05,0.002,0,0,1,0.046,0.55,0.051000000000000004,0.55,0.05,1,0.046
